category,horizon_min,prob_bin,n,predicted_mean,observed_yes_rate,volume_mean
Sports,10,"[0.4,0.5)",346,0.4598554913294797,0.5173410404624278,732781.7292635406
Sports,10,"[0.5,0.6)",360,0.5339722222222222,0.5277777777777778,558923.6369040384
Sports,10,"[0.6,0.7)",125,0.64708,0.584,585987.8177583757
Sports,10,"[0.7,0.8)",76,0.745,0.631578947368421,774938.5792312892
Sports,10,"[0.8,0.9)",54,0.8430555555555556,0.8518518518518519,693796.1016277601
Sports,10,"[0.9,1.0]",164,0.9934451219512196,1.0,403943.3376810122
Technology,10,"[0.0,0.1)",63,0.012944444444444444,0.047619047619047616,384984.52479058824
Technology,10,"[0.1,0.2)",7,0.16142857142857142,0.5714285714285714,110026.47431900002
Technology,10,"[0.2,0.3)",11,0.23954545454545456,0.36363636363636365,237851.2471719091
Technology,10,"[0.3,0.4)",6,0.35333333333333333,0.3333333333333333,144385.97280299998
Technology,10,"[0.4,0.5)",3,0.435,0.6666666666666666,117907.6139826667
Technology,10,"[0.5,0.6)",2,0.5922499999999999,0.5,113340.87884999998
Technology,10,"[0.7,0.8)",1,0.74,1.0,177944.47075699986
Technology,10,"[0.9,1.0]",6,0.968,1.0,451950.56896633306
Uncategorized,10,"[0.0,0.1)",101,0.009762376237623762,0.009900990099009901,246527.49777780208
Uncategorized,10,"[0.1,0.2)",10,0.15835,0.2,153764.01954739995
Uncategorized,10,"[0.2,0.3)",20,0.25,0.4,136319.94925895004
Uncategorized,10,"[0.3,0.4)",20,0.36124999999999996,0.25,218282.42944429992
Uncategorized,10,"[0.4,0.5)",44,0.4678409090909091,0.5454545454545454,172601.5202844545
Uncategorized,10,"[0.5,0.6)",726,0.5056129476584021,0.47520661157024796,131966.04815901362
Uncategorized,10,"[0.6,0.7)",16,0.6479375,0.4375,375665.5849243761
Uncategorized,10,"[0.7,0.8)",7,0.7335714285714285,0.5714285714285714,187710.12206742872
Uncategorized,10,"[0.8,0.9)",5,0.8323,0.6,108497.24289280002
Uncategorized,10,"[0.9,1.0]",33,0.9949696969696971,1.0,207196.08071012117
World,10,"[0.0,0.1)",21,0.012880952380952382,0.0,7425492.640686028
World,10,"[0.1,0.2)",2,0.17625000000000002,0.5,126649.63836400001
World,10,"[0.3,0.4)",2,0.39,1.0,351483.0366695004
World,10,"[0.4,0.5)",1,0.49,0.0,92225.488424
World,10,"[0.5,0.6)",1,0.585,0.0,178312.6496809999
