horizon_min,volume_bucket,n,mean_abs_isotonic_gap,median_abs_isotonic_gap,mean_signed_isotonic_gap,share_positive_isotonic_gap,decile_volume_min,decile_volume_max
960,Decile 5,367,0.009719454908692509,0.005258107213765739,-0.0066384676877261645,0.22615803814713897,146200.36902600006,172606.0023400006
960,Decile 6,366,0.013122445041251613,0.005258107213765739,-0.005418984433365301,0.3743169398907104,172631.13869899965,215462.707338
960,Decile 7,367,0.013745259809333239,0.005258107213765739,-0.002595309377044902,0.46866485013623976,215644.1324380001,311484.59004499967
960,Decile 8,366,0.016938869991575012,0.009132173382173387,-0.0035151761481983473,0.5273224043715847,311633.0053329989,498804.63764299935
960,Decile 9,367,0.020404195347405035,0.013991596638655457,-0.0033208277158783945,0.48501362397820164,499514.7620470004,964000.3358499992
960,Decile 10 (highest),367,0.019078667968122385,0.009145299145299157,-0.005357680578036567,0.5449591280653951,965800.9519230044,172972056.63332495
1020,Decile 1 (lowest),353,0.012425970570042466,0.0033407572383074013,-0.006813480442411552,0.23229461756373937,88437.42444700007,99943.22813499992
1020,Decile 2,353,0.00988485570511529,0.0033407572383074013,-0.006030336722445154,0.2237960339943343,99978.315203,111450.5453949999
1020,Decile 3,353,0.009772922886754668,0.0019306930693069324,-0.004233001068750793,0.2804532577903683,111472.701119,127743.1595229999
1020,Decile 4,353,0.008314105158205859,0.0019306930693069324,-0.003985230377061178,0.26062322946175637,127758.48390799983,148390.46444100002
1020,Decile 5,353,0.008374688489476168,0.0019306930693069324,-0.004630034097893042,0.26628895184135976,148436.62700899993,177827.79291299998
1020,Decile 6,352,0.010428422851650972,0.0019306930693069324,-0.0027921475727876437,0.3835227272727273,177944.47075699986,222386.4090579994
1020,Decile 7,353,0.013534197092462032,0.0033407572383074013,-0.0017188078552338004,0.5240793201133145,222508.44198099984,330222.0496070012
1020,Decile 8,353,0.015282593650391956,0.008340757238307406,-0.0018219499398447595,0.5495750708215298,330416.66942199995,518960.1745109992
1020,Decile 9,353,0.019785173240078977,0.013058252427184502,-0.004438903897650432,0.49291784702549574,519329.3567269989,997433.0805379984
1020,Decile 10 (highest),353,0.019325164389119857,0.011107382550335554,-0.006085094279668938,0.56657223796034,998161.4390240014,172972056.63332495
1080,Decile 1 (lowest),337,0.011702372171159383,0.0031645569620253333,-0.006061838877343987,0.2522255192878338,88437.42444700007,100161.78948299968
1080,Decile 2,337,0.010876035747419483,0.0031645569620253333,-0.007148812322830085,0.2522255192878338,100206.96534400004,112238.82662699986
1080,Decile 3,336,0.0101326550695962,0.0023253424657534248,-0.0027720004991234927,0.33630952380952384,112273.44149799996,129057.17516899983
1080,Decile 4,337,0.00812919349959306,0.0018807339449541383,-0.003204492991560613,0.29673590504451036,129060.75416600004,150643.036268
1080,Decile 5,337,0.009336543730364855,0.0018807339449541383,-0.0034744794718354387,0.3353115727002967,150735.5276070001,183719.6051120001
1080,Decile 6,336,0.010582261743116606,0.002575342465753425,-0.00343892478512366,0.41964285714285715,183987.38585500003,231160.31933099983
1080,Decile 7,337,0.012944289999383579,0.0035,-0.001429097871057611,0.543026706231454,231228.13400699996,346798.0123010005
1080,Decile 8,336,0.01570986173412979,0.007987012987012987,-0.0011363016938970422,0.6011904761904762,347983.972948001,545378.3413849986
1080,Decile 9,337,0.018248120947327907,0.010166666666666664,-0.0018445212283735829,0.5370919881305638,545638.9248109999,1024695.3629609996
1080,Decile 10 (highest),337,0.017429731542459397,0.008333333333333304,-0.004376317282528501,0.5519287833827893,1030968.813819998,172972056.63332495
1140,Decile 1 (lowest),320,0.012001107815276284,0.004137931034482678,-0.0044125779700911714,0.521875,88437.42444700007,100730.08730199993
1140,Decile 2,320,0.010284016788811605,0.004137931034482678,-0.00549325104023555,0.45,100753.11863600004,113451.87655099992
1140,Decile 3,319,0.010972779394608072,0.004137931034482678,-0.0012786214730285427,0.6018808777429467,113511.0017309999,131011.21932400035
1140,Decile 4,320,0.008451119777312863,0.004137931034482678,-0.0009170361494839796,0.603125,131020.69783299998,154464.6183749999
1140,Decile 5,320,0.010427471631273557,0.004137931034482678,-0.0024110661425534707,0.578125,154590.0351569999,190674.65019799996
1140,Decile 6,319,0.011611897609991807,0.004137931034482678,-0.0013577799832771241,0.6018808777429467,190683.47421399923,245128.58646799976
1140,Decile 7,320,0.013270694295285667,0.0049999999999999975,0.0006484698129849142,0.571875,245519.6794720014,366418.3787380036
