horizon_min,volume_bucket,n_rows,n_price_available,n_staleness_available,mean_staleness_min,median_staleness_min,p90_staleness_min,decile_volume_min,decile_volume_max
900,Decile 8,3000,314,314,1151.993736730361,9.408333333333333,7332.128333333331,267391.98381600075,387725.630436
900,Decile 9,3000,431,431,849.4112529002321,9.416666666666666,1869.4,387838.113042,711162.203510001
900,Decile 10 (highest),3000,502,502,548.5614873837981,9.366666666666667,19.081666666666663,711337.070103,235065166.637259
960,Decile 1 (lowest),3000,398,398,279.4539363484087,9.383333333333333,9.671666666666667,88428.8872629999,100493.179272
960,Decile 2,3000,400,400,434.912,9.391666666666666,9.938333333333334,100494.427236,113333.845187
960,Decile 3,3000,348,348,583.5687260536398,9.4,10.0,113337.833364,128599.649061
960,Decile 4,3000,324,324,590.3762860082304,9.4,19.261666666666667,128612.266046,146338.090948
960,Decile 5,3000,351,351,618.0337606837606,9.416666666666666,19.3,146342.78853100023,170866.05737899995
960,Decile 6,3000,322,322,1075.343426501035,9.45,6876.913333333335,170884.843911,207390.394031
960,Decile 7,3000,280,280,1208.4085119047618,9.383333333333333,7530.266666666666,207390.49136199968,267325.838332
960,Decile 8,3000,312,312,1148.4641025641026,9.4,7310.09833333334,267391.98381600075,387725.630436
960,Decile 9,3000,430,430,843.7336046511629,9.4,1822.390000000003,387838.113042,711162.203510001
960,Decile 10 (highest),3000,502,502,544.1288512616202,9.4,19.28333333333333,711337.070103,235065166.637259
1020,Decile 1 (lowest),3000,374,374,293.98614081996436,9.383333333333333,9.666666666666666,88428.8872629999,100493.179272
1020,Decile 2,3000,381,381,452.202012248469,9.366666666666667,9.6,100494.427236,113333.845187
1020,Decile 3,3000,325,325,619.3795897435898,9.383333333333333,9.793333333333333,113337.833364,128599.649061
1020,Decile 4,3000,303,303,625.6041254125412,9.383333333333333,9.93666666666667,128612.266046,146338.090948
1020,Decile 5,3000,329,329,652.7240628166161,9.383333333333333,11.869999999999894,146342.78853100023,170866.05737899995
1020,Decile 6,3000,310,310,1107.3185483870968,9.416666666666666,6950.13,170884.843911,207390.394031
1020,Decile 7,3000,273,273,1228.881929181929,9.383333333333333,7477.266666666666,207390.49136199968,267325.838332
1020,Decile 8,3000,307,307,1155.880618892508,9.4,7281.203333333334,267391.98381600075,387725.630436
