horizon_min,volume_bucket,n,mean_abs_isotonic_gap,std_abs_isotonic_gap,mean_signed_isotonic_gap,share_positive_isotonic_gap,decile_volume_min,decile_volume_max,mean_abs_gap_ci95_low,mean_abs_gap_ci95_high,rank_abs_gap_within_horizon,is_lowest_abs_gap_within_horizon,is_highest_abs_gap_within_horizon
300,Decile 3,554,0.006992695775408711,0.016390696260711657,-0.0012114994304500736,0.6841155234657039,107681.26591599987,118555.48548199976,0.005627802822824263,0.00835758872799316,2,False,False
300,Decile 4,555,0.007845463144606718,0.020864314165384833,-0.001435154122914356,0.7225225225225225,118571.02001000008,132123.4132850001,0.006109607151056126,0.00958131913815731,4,False,False
300,Decile 5,555,0.006429216427634286,0.017708402683403544,-0.00022207316194505696,0.7423423423423423,132129.28432300003,148570.3408609997,0.004955923958467402,0.00790250889680117,1,True,False
300,Decile 6,554,0.007084040297845607,0.01875936559822651,-0.002034261812343079,0.720216606498195,148583.75915899948,170618.81679699983,0.005521902515977956,0.008646178079713258,3,False,False
300,Decile 7,555,0.008919855713481929,0.019759281389249886,-0.0033305831150624143,0.6666666666666666,170762.16654600005,210976.3050899992,0.007275935536863488,0.01056377589010037,6,False,False
300,Decile 8,554,0.013460925568170792,0.023798147939595827,-0.00219731528648285,0.6209386281588448,211009.22331499984,334160.6735170003,0.0114791961839728,0.015442654952368785,8,False,False
300,Decile 9,555,0.022942383226019856,0.031191394188409355,-0.0033366657340704957,0.5225225225225225,334617.3126600003,676484.4567290006,0.020347341370343754,0.025537425081695958,9,False,False
300,Decile 10 (highest),555,0.024397538168336678,0.03176999749738856,-0.007220576925337153,0.518918918918919,677047.8996270108,172972056.63332495,0.021754358041073098,0.027040718295600258,10,False,True
360,Decile 1 (lowest),537,0.009437362977640312,0.02155450203027879,-0.00466007277679992,0.6238361266294227,88432.19110999956,98214.43023500017,0.00761427795833889,0.011260447996941734,6,False,False
360,Decile 2,536,0.008660930790831363,0.019936142338607528,-0.004662755603976275,0.6194029850746269,98234.50994099976,107762.81570900002,0.006973154809197923,0.010348706772464803,5,False,False
360,Decile 3,537,0.00746835228495077,0.018064935627799945,-0.0031520347379330217,0.6629422718808193,107855.96399199976,118843.30919599978,0.0059404156399091666,0.008996288929992373,4,False,False
360,Decile 4,536,0.006368811033262441,0.017104615690743077,-0.001623971279827713,0.7164179104477612,118852.31544399985,132708.85660999993,0.004920749565422669,0.007816872501102213,3,False,False
360,Decile 5,537,0.006269829182320408,0.017082531439892683,-0.0014630279812194297,0.7392923649906891,132732.5917869998,149354.67323999983,0.004824984522208764,0.007714673842432052,2,False,False
360,Decile 6,536,0.0055159072021883975,0.014546259718754647,-0.0023999874483306444,0.7182835820895522,149359.23696399995,172527.84156999958,0.004284433863017261,0.006747380541359534,1,True,False
360,Decile 7,536,0.009687562807669662,0.020271864662913794,-0.0038313364699179325,0.6492537313432836,172600.85523000025,216362.3741489997,0.007971364874294586,0.011403760741044738,7,False,False
360,Decile 8,537,0.013991437761155672,0.023916493362979924,-0.0028029629721363996,0.5940409683426443,216374.3578990001,342148.3327320001,0.011968574940988417,0.01601430058132293,8,False,False
360,Decile 9,536,0.023436847253394434,0.029689507776937008,-0.002744310779251737,0.5111940298507462,342182.14203400014,689903.4105250001,0.020923360076118717,0.02595033443067015,9,False,False
