category,horizon_min,n,n_unique_markets,predicted_mean,observed_yes_rate,mae,brier,mean_signed_error,mean_volume
Politics,540,158,158,0.14311075949367089,0.1518987341772152,0.07071202531645569,0.03419308386075949,-0.008787974683544303,2090647.4279143421
Technology,540,97,97,0.14694329896907218,0.2268041237113402,0.18320103092783505,0.11367370360824741,-0.07986082474226805,327531.3654151449
Economy,540,89,89,0.16597191011235954,0.16853932584269662,0.09864606741573033,0.05218849157303371,-0.0025674157303370746,3359638.341085194
World,540,27,27,0.08692592592592592,0.1111111111111111,0.1272962962962963,0.07326712962962963,-0.02418518518518519,5820820.331206614
Science,540,2,2,0.09025,0.0,0.09025,0.01499262499999995,0.09025,201680.56840049993
Crypto,600,2049,2049,0.4657162030258663,0.4675451439726696,0.4320695461200586,0.21558909358223521,-0.0018289409468033153,227030.7707887402
Sports,600,1361,1361,0.4682825128581925,0.4761204996326231,0.3554338721528288,0.1815642488978692,-0.00783798677443056,671018.8760968484
Uncategorized,600,624,624,0.4405440705128205,0.42467948717948717,0.3971033653846154,0.20069754927884614,0.015864583333333335,166353.39525387497
Culture,600,167,167,0.10481437125748504,0.11976047904191617,0.08137724550898204,0.03872974251497005,-0.014946107784431138,568767.208299137
Politics,600,158,158,0.14305696202531645,0.1518987341772152,0.07013291139240506,0.03396260443037974,-0.008841772151898734,2090647.4279143421
Technology,600,97,97,0.14485567010309278,0.2268041237113402,0.1796185567010309,0.11112489690721648,-0.08194845360824742,327531.3654151449
Economy,600,89,89,0.16341011235955055,0.16853932584269662,0.09692696629213483,0.05062987921348314,-0.005129213483146061,3359638.341085194
World,600,27,27,0.08703703703703704,0.1111111111111111,0.12925925925925927,0.07472516666666668,-0.024074074074074074,5820820.331206614
Science,600,2,2,0.153,0.0,0.153,0.044579249999999994,0.153,201680.56840049993
Crypto,660,1925,1925,0.4628106493506493,0.4623376623376623,0.4274568831168831,0.2131629744155844,0.0004729870129870166,233120.66991273852
Sports,660,1347,1347,0.4665308092056422,0.4758723088344469,0.35359317000742385,0.18020368114328134,-0.009341499628804744,673879.6116024837
Uncategorized,660,597,597,0.438000837520938,0.41708542713567837,0.39272613065326634,0.1986078320770519,0.020915410385259632,168548.86908373365
Culture,660,167,167,0.10410179640718564,0.11976047904191617,0.08044910179640719,0.03776494311377245,-0.01565868263473054,568767.208299137
Politics,660,158,158,0.14131962025316458,0.1518987341772152,0.07185126582278481,0.03481008702531644,-0.010579113924050629,2090647.4279143421
Technology,660,97,97,0.14628350515463917,0.2268041237113402,0.17969587628865977,0.10897880154639175,-0.08052061855670103,327531.3654151449
Economy,660,83,83,0.14029518072289157,0.12048192771084337,0.06849999999999999,0.03580274397590361,0.019813253012048195,3584948.117262497
World,660,27,27,0.08912962962962963,0.1111111111111111,0.12987037037037036,0.07372502777777777,-0.021981481481481477,5820820.331206614
Science,660,2,2,0.13625,0.0,0.13625,0.035012125,0.13625,201680.56840049993
Crypto,720,1806,1806,0.4600113510520487,0.45625692137320045,0.422641472868217,0.21051946220930232,0.0037544296788482863,240103.37308488795
Sports,720,1342,1342,0.46574888226527567,0.47466467958271236,0.3526900149031297,0.1792423789120715,-0.008915797317436655,675189.7418888834
Uncategorized,720,563,563,0.43367761989342807,0.41207815275310833,0.3869014209591474,0.19583405817051508,0.02159946714031972,171239.06196477264
Culture,720,167,167,0.10269461077844311,0.11976047904191617,0.08217365269461077,0.03978173353293412,-0.01706586826347305,568767.208299137
Politics,720,158,158,0.1444620253164557,0.1518987341772152,0.0730632911392405,0.03583840189873417,-0.007436708860759491,2090647.4279143421
