horizon_min,volume_bucket,bin_start,bin_end,bin_mid,n,mean_signed_isotonic_gap,mean_abs_isotonic_gap,decile_volume_min,decile_volume_max
30,Decile 9,0.9,1.0,0.95,78,-0.0103910256410256,0.0103910256410256,303187.61149400024,625282.5868629998
30,Decile 10 (highest),0.0,0.1,0.05,189,0.001246728259715273,0.0031692351259450828,626396.9356580008,172972056.63332495
30,Decile 10 (highest),0.1,0.2,0.15000000000000002,35,-0.08246103896103893,0.08246103896103893,626396.9356580008,172972056.63332495
30,Decile 10 (highest),0.2,0.30000000000000004,0.25,23,-0.054874790898728355,0.054874790898728355,626396.9356580008,172972056.63332495
30,Decile 10 (highest),0.3,0.4,0.35,50,-0.07297795978710823,0.07297795978710823,626396.9356580008,172972056.63332495
30,Decile 10 (highest),0.4,0.5,0.45,104,-0.03467235006086837,0.03467235006086837,626396.9356580008,172972056.63332495
30,Decile 10 (highest),0.5,0.6,0.55,103,0.00514793725763447,0.010409171377325388,626396.9356580008,172972056.63332495
30,Decile 10 (highest),0.6,0.7,0.6499999999999999,34,0.06275567595459239,0.06275567595459239,626396.9356580008,172972056.63332495
30,Decile 10 (highest),0.7,0.7999999999999999,0.75,25,0.06966666666666671,0.06966666666666671,626396.9356580008,172972056.63332495
30,Decile 10 (highest),0.8,0.9,0.8500000000000001,22,0.02053221288515409,0.03871403106697225,626396.9356580008,172972056.63332495
30,Decile 10 (highest),0.9,1.0,0.95,53,-0.016867924528301843,0.016867924528301843,626396.9356580008,172972056.63332495
60,Decile 1 (lowest),0.0,0.1,0.05,53,0.0026371052499874884,0.003023689171379478,88431.65343399995,97666.63496399978
60,Decile 1 (lowest),0.1,0.2,0.15000000000000002,17,-0.0876740024681201,0.0876740024681201,88431.65343399995,97666.63496399978
60,Decile 1 (lowest),0.2,0.30000000000000004,0.25,22,-0.06296291404520245,0.06296291404520245,88431.65343399995,97666.63496399978
60,Decile 1 (lowest),0.3,0.4,0.35,10,-0.060458741258741254,0.060458741258741254,88431.65343399995,97666.63496399978
60,Decile 1 (lowest),0.4,0.5,0.45,31,-0.011703873332087587,0.01258363872798201,88431.65343399995,97666.63496399978
60,Decile 1 (lowest),0.5,0.6,0.55,461,0.0024584213015851814,0.0031969074895239744,88431.65343399995,97666.63496399978
60,Decile 1 (lowest),0.6,0.7,0.6499999999999999,10,0.0655214285714286,0.0655214285714286,88431.65343399995,97666.63496399978
60,Decile 1 (lowest),0.7,0.7999999999999999,0.75,3,0.058727598566308235,0.058727598566308235,88431.65343399995,97666.63496399978
60,Decile 1 (lowest),0.8,0.9,0.8500000000000001,5,0.029000000000000026,0.05900000000000001,88431.65343399995,97666.63496399978
60,Decile 1 (lowest),0.9,1.0,0.95,15,-0.015933333333333303,0.015933333333333303,88431.65343399995,97666.63496399978
