category,horizon_min,n,n_unique_markets,raw_predicted_mean,calibrated_predicted_mean,observed_yes_rate,raw_mae,raw_brier,calibrated_mae,calibrated_brier,mean_signed_isotonic_gap,mean_abs_isotonic_gap,share_positive_isotonic_gap,mean_volume
Sports,360,1426,1426,0.4717507012622721,0.48106591865357645,0.48106591865357645,0.3611384992987377,0.18506287920757364,0.3622384349566536,0.1811192174783268,-0.009315217391304373,0.0278993816018645,0.3394109396914446,657736.4278443791
Uncategorized,360,795,795,0.4529132075471698,0.44528301886792454,0.44528301886792454,0.41632704402515724,0.20988510125786164,0.40973843502076274,0.20486921751038137,0.007630188679245304,0.024306966166144427,0.410062893081761,160866.96200232446
Culture,360,173,173,0.11966184971098268,0.12138728323699421,0.12138728323699421,0.08223410404624276,0.03798972109826589,0.059344894026974945,0.02967244701348748,-0.0017254335260115565,0.03180250481695568,0.861271676300578,555106.6405986755
Politics,360,158,158,0.14520569620253165,0.1518987341772152,0.1518987341772152,0.06979430379746833,0.034039466772151895,0.057483246463142214,0.028741623231571114,-0.006693037974683545,0.018982812112186647,0.759493670886076,2090647.4279143417
Technology,360,97,97,0.14850515463917524,0.22680412371134018,0.2268041237113402,0.17916494845360822,0.11111354123711341,0.18376697758141058,0.0918834887907053,-0.07829896907216495,0.07921649484536081,0.3711340206185567,327531.3654151449
Economy,360,89,89,0.16512359550561798,0.16853932584269665,0.16853932584269662,0.09334831460674155,0.047492,0.08721241305510967,0.043606206527554835,-0.003415730337078641,0.013412520064205452,0.8314606741573034,3359638.341085194
World,360,27,27,0.0816111111111111,0.1111111111111111,0.1111111111111111,0.12761111111111112,0.07740237962962962,0.13333333333333333,0.06666666666666668,-0.029500000000000002,0.03924074074074074,0.7037037037037037,5820820.331206615
Science,360,2,2,0.07825,0.0,0.0,0.07825,0.011710624999999999,0.0,0.0,0.07825,0.07825,1.0,201680.56840049993
Crypto,420,2466,2466,0.4718992295214922,0.4724249797242498,0.4724249797242498,0.442381792376318,0.22082619880373072,0.4395978758477566,0.21979893792387822,-0.0005257502027574574,0.004734492138633682,0.745742092457421,213408.2119879256
Sports,420,1411,1411,0.471053862508859,0.4805102763997165,0.4805102763997165,0.3603401842664777,0.18472016052445073,0.3612220960639523,0.18061104803197614,-0.009456413890857546,0.02939732614828301,0.37420269312544296,660859.8226364214
